Date,Open,High,Low,Close,Adj Close,Volume
8/29/2013,21.337299,21.7806,21.292299,21.3599,18.250841,12051406
8/30/2013,21.337299,21.8708,21.292299,21.795601,18.623119,15244742
9/2/2013,22.276501,22.5394,21.9384,22.0135,18.822258,10083124
9/3/2013,22.0285,22.2089,21.712999,21.795601,18.635942,12762294
9/4/2013,21.728001,21.930901,21.5252,21.8482,18.680923,9166464
9/5/2013,21.795601,22.171301,21.7806,22.0811,18.880062,12114363
9/6/2013,22.3141,22.7122,22.268999,22.5319,19.265503,17925509
9/9/2013,22.6672,23.3659,22.622101,23.163,19.80512,20091711
9/10/2013,23.110399,23.553699,23.110399,23.3283,19.946453,16588120
9/11/2013,23.223101,23.4035,23.0278,23.215599,19.85008,13953139
9/12/2013,23.2908,23.3283,22.9151,23.163,19.80512,10357177
9/13/2013,23.2682,23.5161,22.9902,23.501101,20.094202,12477992
9/16/2013,23.598801,23.704,23.178101,23.3584,19.972191,10816372
9/17/2013,23.4335,23.7416,23.3734,23.733999,20.293341,12738602
9/18/2013,23.628901,24.628099,23.583799,24.4177,20.877926,18833783
9/19/2013,24.4177,24.4177,23.8993,24.2675,20.749496,19568894
9/20/2013,24.184799,24.3426,23.5312,23.5312,20.119932,14406079
9/23/2013,24.184799,24.3426,23.486099,23.7416,20.299839,16559503
9/24/2013,24.184799,24.3426,23.486099,23.6514,20.222719,12308423
9/25/2013,23.6439,23.764099,23.4335,23.673901,20.241953,11898741
9/26/2013,23.666401,23.8242,23.5086,23.666401,20.235538,7019428
9/27/2013,23.5462,24.4102,23.523701,24.192301,20.685205,19461616
9/30/2013,23.5462,24.4102,23.523701,23.6213,20.196976,15801898
10/1/2013,23.6814,23.944401,23.2607,23.8542,20.409073,12228962
10/2/2013,23.7791,24.011999,23.7265,23.756599,20.325581,10720939
10/3/2013,23.7866,23.8993,23.628901,23.8167,20.376987,8865259
10/4/2013,23.7416,24.0571,23.6138,23.8542,20.409073,7625432
10/7/2013,23.8016,23.9895,23.591299,23.7491,20.31916,8370260
10/8/2013,23.8167,23.944401,23.3659,23.666401,20.2484,9430401
10/9/2013,23.7265,24.1022,23.673901,23.9219,20.466997,11807567
10/10/2013,24.0947,24.4102,23.8542,24.3426,20.826939,14148929
10/11/2013,24.26,24.387699,24.004499,24.109699,20.627674,12060191
10/14/2013,24.079599,24.4027,23.906799,24.282499,20.775513,11842839
10/15/2013,24.275,24.4177,24.0947,24.380199,20.859104,16425339
10/16/2013,24.4102,24.7784,24.3276,24.6581,21.096874,16601696
10/17/2013,24.4403,24.981199,24.4403,24.8685,21.276888,16005009
10/18/2013,24.8535,25.499599,24.8535,25.4846,21.804008,18159765
10/21/2013,25.402,25.469601,25.0413,25.251699,21.60474,10474305
10/22/2013,25.2817,25.5222,24.996201,25.3869,21.720415,11145262
10/23/2013,25.259199,25.326799,24.9436,25.0413,21.424728,10374346
10/24/2013,25.1691,25.191601,24.703199,24.921101,21.321884,9473259
10/25/2013,24.981199,25.018801,24.7708,24.7934,21.212633,7131764
10/28/2013,24.8986,25.086399,24.740801,25.086399,21.463312,7910932
10/29/2013,25.9128,26.025499,25.709999,26.003,22.247536,25945183
10/30/2013,25.8603,26.070601,25.792601,25.9128,22.170361,11706677
10/31/2013,25.7701,26.0781,25.5672,25.980499,22.228283,15479929
11/1/2013,25.957899,26.070601,25.507099,25.7325,22.02882,12623071
11/4/2013,25.695,26.055599,25.6724,25.9279,22.196098,8809357
11/5/2013,25.890301,26.003,25.3193,25.499599,21.829441,12889537
11/6/2013,25.4545,25.469601,24.913601,25.191601,21.565777,12548535
11/7/2013,25.0714,25.4846,24.6506,24.815901,21.24415,14498450
11/8/2013,24.7784,24.8309,23.929399,24.1623,20.684616,13374154
11/11/2013,24.222401,24.305,24.049601,24.2675,20.774683,6392793
11/12/2013,24.1698,24.8535,24.042101,24.2299,20.742485,14480481
11/13/2013,24.1548,24.906099,23.974501,24.7183,21.160601,14438688
11/14/2013,24.808399,25.439501,24.8009,25.2442,21.610807,12421558
11/18/2013,25.371901,25.604799,25.3193,25.5898,21.906658,13124592
11/19/2013,25.4921,25.4921,24.7183,24.906099,21.321362,10739040
11/21/2013,24.6131,24.906099,24.530399,24.6506,21.102636,12163743
11/22/2013,24.470301,24.598,23.861799,24.282499,20.787519,18697223
11/25/2013,24.3501,24.4027,23.4786,23.9219,20.478823,15064790
11/26/2013,23.8242,24.6807,23.7115,24.042101,20.58172,18229775
11/27/2013,24.1698,24.7633,24.147301,24.6807,21.128403,17122516
11/28/2013,24.7934,24.861,24.282499,24.455299,20.93545,8950975
11/29/2013,24.5229,24.7708,24.357599,24.748301,21.186279,11096680
12/2/2013,24.380199,24.981199,24.124701,24.207399,20.735792,16697927
12/3/2013,23.9669,24.2675,23.666401,23.666401,20.272383,13626645
12/4/2013,23.876801,24.079599,23.4335,23.5688,20.188789,13551177
12/5/2013,23.876801,24.079599,23.2306,23.3659,20.014978,17055833
12/6/2013,23.688999,23.876801,23.2908,23.6138,20.227324,12509537
12/9/2013,23.7791,24.184799,23.6814,23.839199,20.420404,8448256
12/10/2013,23.719,23.8918,23.6514,23.688999,20.291746,7396367
12/11/2013,23.666401,23.7416,23.035299,23.0578,19.751057,12412773
12/12/2013,23.0954,23.3584,22.9452,23.253201,19.918442,11429829
12/13/2013,23.3283,23.5763,23.140499,23.3433,19.995609,9861645
12/16/2013,23.3584,23.6814,23.2908,23.418501,20.06003,10596091
